date,real_return
1926-01-31,0.00022
1926-02-28,-0.00108
1926-03-31,0.00169
1926-04-30,0.03829
1926-05-31,0.00096
1926-06-30,-0.06068
1926-07-31,0.02165
1926-08-31,-0.00533
1926-09-30,-0.00306
1926-10-31,0.01191
1926-11-30,0.01715
1926-12-31,0.05906
1927-01-31,0.03625
1927-02-28,0.01167
1927-03-31,-0.02652
1927-04-30,-0.03896
1927-05-31,0.01779
1927-06-30,0.06570
1927-07-31,0.00857
1927-08-31,0.00192
1927-09-30,0.03063
1927-10-31,-0.05871
1927-11-30,-0.00735
1927-12-31,0.02877
1928-01-31,0.04600
1928-02-29,-0.00413
1928-03-31,0.02365
1928-04-30,0.01787
1928-05-31,0.04190
1928-06-30,-0.04339
1928-07-31,0.03227
1928-08-31,-0.06145
1928-09-30,-0.11120
1928-10-31,-0.02061
1928-11-30,-0.03451
1928-12-31,0.04612
1929-01-31,0.03659
1929-02-28,-0.04816
1929-03-31,0.04483
1929-04-30,-0.03840
1929-05-31,0.00282
1929-06-30,-0.00653
1929-07-31,0.01185
1929-08-31,0.04354
1929-09-30,0.03543
1929-10-31,0.02244
1929-11-30,0.03595
1929-12-31,0.02823
1930-01-31,-0.02151
1930-02-28,-0.02558
1930-03-31,-0.01445
1930-04-30,0.02917
1930-05-31,-0.00456
1930-06-30,0.11181
1930-07-31,-0.03017
1930-08-31,-0.04275
1930-09-30,0.04128
1930-10-31,0.07068
1930-11-30,0.02946
1930-12-31,0.04431
1931-01-31,0.07089
1931-02-28,0.00247
1931-03-31,-0.05733
1931-04-30,-0.01724
1931-05-31,0.04958
1931-06-30,-0.05827
1931-07-31,0.00821
1931-08-31,0.01810
1931-09-30,-0.00750
1931-10-31,0.03926
1931-11-30,0.03284
1931-12-31,0.11116
1932-01-31,0.03460
1932-02-29,-0.02072
1932-03-31,-0.01858
1932-04-30,-0.03072
1932-05-31,0.04955
1932-06-30,-0.01881
1932-07-31,0.00354
1932-08-31,0.04042
1932-09-30,-0.02586
1932-10-31,-0.00651
1932-11-30,-0.07616
1932-12-31,-0.04201
1933-01-31,-0.01885
1933-02-28,0.02541
1933-03-31,0.06041
1933-04-30,0.00587
1933-05-31,0.01846
1933-06-30,0.01426
1933-07-31,0.05551
1933-08-31,0.04690
1933-09-30,0.01902
1933-10-31,-0.03879
1933-11-30,0.04735
1933-12-31,0.02385
1934-01-31,0.06191
1934-02-28,0.00535
1934-03-31,0.09459
1934-04-30,-0.00945
1934-05-31,0.07839
1934-06-30,0.01188
1934-07-31,-0.01653
1934-08-31,-0.04408
1934-09-30,-0.00010
1934-10-31,0.07075
1934-11-30,0.04344
1934-12-31,0.03770
1935-01-31,-0.10021
1935-02-28,0.03869
1935-03-31,0.03171
1935-04-30,-0.01805
1935-05-31,-0.02153
1935-06-30,0.00660
1935-07-31,0.08432
1935-08-31,-0.04078
1935-09-30,-0.01255
1935-10-31,0.06798
1935-11-30,-0.01338
1935-12-31,-0.00969
1936-01-31,0.01110
1936-02-29,-0.04916
1936-03-31,0.01660
1936-04-30,-0.04773
1936-05-31,0.04653
1936-06-30,0.00684
1936-07-31,0.10945
1936-08-31,0.01934
1936-09-30,0.06816
1936-10-31,-0.05195
1936-11-30,0.00120
1936-12-31,0.02124
1937-01-31,0.08526
1937-02-28,-0.06894
1937-03-31,0.05128
1937-04-30,0.03331
1937-05-31,0.07571
1937-06-30,0.03876
1937-07-31,0.00904
1937-08-31,-0.01677
1937-09-30,-0.04947
1937-10-31,0.01549
1937-11-30,-0.00193
1937-12-31,0.09761
1938-01-31,-0.02080
1938-02-28,0.02112
1938-03-31,-0.06391
1938-04-30,-0.01110
1938-05-31,0.01845
1938-06-30,0.04378
1938-07-31,0.07186
1938-08-31,0.00471
1938-09-30,-0.04358
1938-10-31,0.02730
1938-11-30,0.02996
1938-12-31,0.02882
1939-01-31,-0.02481
1939-02-28,0.05770
1939-03-31,0.01066
1939-04-30,0.03819
1939-05-31,0.06403
1939-06-30,0.03412
1939-07-31,0.01959
1939-08-31,0.10358
1939-09-30,0.01767
1939-10-31,-0.00662
1939-11-30,0.01174
1939-12-31,0.07342
1940-01-31,0.01204
1940-02-29,0.03007
1940-03-31,0.06051
1940-04-30,-0.01638
1940-05-31,-0.07100
1940-06-30,0.02017
1940-07-31,0.01704
1940-08-31,-0.02066
1940-09-30,0.04590
1940-10-31,0.03404
1940-11-30,-0.03807
1940-12-31,0.03002
1941-01-31,-0.00212
1941-02-28,-0.06004
1941-03-31,0.02708
1941-04-30,0.00467
1941-05-31,-0.02684
1941-06-30,0.03023
1941-07-31,0.02866
1941-08-31,-0.01929
1941-09-30,0.02472
1941-10-31,0.05238
1941-11-30,-0.02537
1941-12-31,0.02384
1942-01-31,0.00682
1942-02-28,0.10867
1942-03-31,-0.07710
1942-04-30,0.03799
1942-05-31,-0.00708
1942-06-30,0.00219
1942-07-31,0.09227
1942-08-31,0.00631
1942-09-30,0.10754
1942-10-31,-0.01320
1942-11-30,0.02247
1942-12-31,-0.01539
1943-01-31,-0.02438
1943-02-28,0.00951
1943-03-31,-0.00602
1943-04-30,0.01581
1943-05-31,-0.08803
1943-06-30,0.09681
1943-07-31,-0.00081
1943-08-31,0.08513
1943-09-30,-0.03862
1943-10-31,0.01986
1943-11-30,0.14912
1943-12-31,-0.03244
1944-01-31,-0.06059
1944-02-29,-0.01789
1944-03-31,0.02796
1944-04-30,0.03790
1944-05-31,0.06477
1944-06-30,-0.00487
1944-07-31,-0.06540
1944-08-31,-0.01288
1944-09-30,0.06251
1944-10-31,0.02765
1944-11-30,-0.08136
1944-12-31,0.00512
1945-01-31,0.06962
1945-02-28,0.10239
1945-03-31,0.03198
1945-04-30,0.02062
1945-05-31,-0.04911
1945-06-30,-0.03125
1945-07-31,0.00881
1945-08-31,0.02934
1945-09-30,0.03281
1945-10-31,-0.01482
1945-11-30,-0.04514
1945-12-31,-0.02830
1946-01-31,-0.04536
